,Título,Título_original,Genero,Idioma,Actores,Colección/Saga,Duración(min),Lanzamiento,Estado,Origen,Nota,Votos,Ingresos,Presupuesto,Beneficios,id
6741,Las Ciervas,Les Biches,"['Drama', 'Romance']",['French'],"['Jean-Louis Trintignant', 'Jacqueline Sassard', 'Stéphane Audran', 'Nane Germon', 'Serge Bento', 'Henri Attal', 'Dominique Zardi', 'Claude Chabrol']",False,105,1968-03-22,Ya en cines,['FR'],6.1,61,0,0,0,1787
6742,"Rafi, un rey de peso",King Ralph,['Comedia'],['English'],"['John Goodman', ""Peter O'Toole"", 'John Hurt', 'Camille Coduri', 'Richard Griffiths', 'Leslie Phillips', 'James Villiers', 'Joely Richardson', ""Niall O'Brien"", 'Julian Glover']",False,97,1991-02-15,Ya en cines,['US'],5.4,280,52487045,23000000,29487045,10804
6743,El exótico Hotel Marigold,The Best Exotic Marigold Hotel,"['Drama', 'Comedia']","['Hindi', 'English']","['Bill Nighy', 'Maggie Smith', 'Tom Wilkinson', 'Judi Dench', 'Dev Patel', 'Penelope Wilton', 'Celia Imrie', 'Ronald Pickup', 'Ramona Marquez', 'Hugh Dickson', 'Bill Nighy', 'Maggie Smith', 'Tom Wilkinson', 'Judi Dench', 'Dev Patel', 'Penelope Wilton', 'Celia Imrie', 'Ronald Pickup', 'Ramona Marquez', 'Hugh Dickson']",True,124,2012-02-23,Ya en cines,"['AE', 'US', 'GB']",6.941,1284,136800000,10000000,126800000,74534
6744,Mr. Baseball,Mr. Baseball,['Comedia'],"['English', 'Japanese']","['Tom Selleck', 'Ken Takakura', 'Aya Takanashi', 'Dennis Haysbert', 'Toshi Shioya', 'Kosuke Toyohara', 'Toshizo Fujiwara', 'Mak Takano', 'Kenji Morinaga', 'Joh Nishimura']",False,108,1992-10-01,Ya en cines,['US'],5.9,128,20000000,0,20000000,18722
6745,Icarus,Icarus,"['Acción', 'Drama', 'Suspense']","['Russian', 'English']","['Dolph Lundgren', 'Samantha Ferris', 'David James Lewis', 'Bo Svenson', 'Katelyn Mager', 'Lindsay Maxwell', 'Monique Ganderton', 'Marian Koprada', 'John Tench', 'Stefanie von Pfetten']",False,88,2010-02-09,Ya en cines,"['CA', 'US']",4.9,89,0,0,0,35402
6746,Teen Titans Go! See Space Jam,Teen Titans Go! See Space Jam,"['Animación', 'Comedia', 'Familia', 'Fantasía', 'Ciencia ficción']","['English', 'Portuguese']","['Greg Cipes', 'Scott Menville', 'Khary Payton', 'Tara Strong', 'Hynden Walch', 'John DiMaggio', 'Fred Tatasciore']",True,83,2021-06-20,Ya en cines,['US'],6.133,218,0,0,0,834404
6747,The Trap,The Trap,['Comedia'],['English'],"['T.I.', 'Mike Epps', 'Loretta Devine', 'Meagan Tandy', 'Teyana Taylor', 'Stephen Bishop', 'Queen Latifah', 'Mila J.', 'Big Boi', 'Lil Duval']",False,90,2019-04-01,Ya en cines,['US'],5.0,68,0,0,0,592348
6748,La villana,악녀,"['Acción', 'Crimen', 'Drama', 'Suspense']",['Korean'],"['Kim Ok-vin', 'Shin Ha-kyun', 'Sung Joon', 'Kim Seo-hyung', 'Cho Eun-ji', 'Lee Seung-joo', 'Jung Hae-kyun', 'Park Cheol-min', 'Son Min-ji', 'Min Ye-ji']",False,129,2017-06-08,Ya en cines,['KR'],6.869,632,8737458,125000,8612458,437109
6749,La batalla del año,Battle of the Year,"['Música', 'Drama']",['English'],"['Josh Holloway', 'Josh Peck', 'Chris Brown', 'Laz Alonso', 'Caity Lotz', 'Terrence Jenkins', 'Weronika Rosati', ""Ivan 'Flipz' Velez"", 'Jesse Erwin', 'Steve Terada']",False,110,2013-09-21,Ya en cines,['US'],6.8,325,16549477,20000000,-3450523,109417
6750,Looney Tunes: De nuevo en acción,Looney Tunes: Back in Action,"['Animación', 'Comedia', 'Familia']",['English'],"['Brendan Fraser', 'Jenna Elfman', 'Steve Martin', 'Joe Alaskey', 'Jeff Bennett', 'Timothy Dalton', 'Billy West', 'Heather Locklear', 'Joan Cusack', 'Bill Goldberg']",False,91,2003-11-14,Ya en cines,['US'],6.4,1442,68500000,80000000,-11500000,10715
6751,El juicio de los 7 de Chicago,The Trial of the Chicago 7,"['Drama', 'Historia']",['English'],"['Eddie Redmayne', 'Sacha Baron Cohen', 'Joseph Gordon-Levitt', 'Michael Keaton', 'Frank Langella', 'John Carroll Lynch', 'Mark Rylance', 'Alex Sharp', 'Yahya Abdul-Mateen II', 'Jeremy Strong', 'Eddie Redmayne', 'Sacha Baron Cohen', 'Joseph Gordon-Levitt', 'Michael Keaton', 'Frank Langella', 'John Carroll Lynch', 'Mark Rylance', 'Alex Sharp', 'Yahya Abdul-Mateen II', 'Jeremy Strong']",False,129,2020-09-25,Ya en cines,['US'],7.709,2918,107423,35000000,-34892577,556984
6752,Patrick,Patrick,"['Familia', 'Comedia']",['English'],"['Beattie Edmondson', 'Ed Skrein', 'Tom Bennett', 'Gemma Jones', 'Emily Atack', 'Jennifer Saunders', 'Adrian Scarborough', 'Bernard Cribbins', 'Roy Hudd', 'Peter Davison']",False,80,2018-06-29,Ya en cines,['GB'],6.749,237,0,7834998,-7834998,478159
6753,La jungla de asfalto,The Asphalt Jungle,"['Crimen', 'Drama']","['English', 'German']","['Sterling Hayden', 'Louis Calhern', 'Sam Jaffe', 'Jean Hagen', 'James Whitmore', 'John McIntire', 'Marc Lawrence', 'Barry Kelley', 'Anthony Caruso', 'Marilyn Monroe', 'Sterling Hayden', 'Louis Calhern', 'Sam Jaffe', 'Jean Hagen', 'James Whitmore', 'John McIntire', 'Marc Lawrence', 'Barry Kelley', 'Anthony Caruso', 'Marilyn Monroe']",False,112,1950-05-12,Ya en cines,['US'],7.511,452,0,1232000,-1232000,16958
6754,Medios Hermanos,Half Brothers,"['Comedia', 'Drama']","['English', 'Spanish']","['José Zúñiga', 'Luis Gerardo Méndez', 'Vincent Spano', 'Alma Sisneros', 'Shira Scott Astrof', 'Connor Del Rio', 'Howard Ferguson Jr.', 'Hayes Hargrove', 'Bianca Marroquín', 'Catherine Haun']",False,96,2020-12-04,Ya en cines,['US'],7.5,192,0,0,0,652962
